Scenario,TSEDRL,
small-1,787.05(36.59),0.0(0.0)
small-2,723.79(38.8),0.0(0.0)
small-3,714.81(32.73),0.0(0.0)
medium-1,940.58(56.08),0.0(0.0)
medium-2,837.56(35.07),0.0(0.0)
medium-3,825.96(35.18),0.0(0.0)
large-1,1160.41(74.29),0.0(0.0)
large-2,987.98(32.64),0.0(0.0)
large-3,943.38(45.55),0.0(0.0)
